s#,date,islamic date,blast day type,holiday type,time,city,latitude,longitude,province,location,location category,location sensitivity,open/closed space,influencing event/event,target type,targeted sect if any,killed min,killed max,injured min,injured max,no. of suicide blasts,explosive weight (max),hospital names,temperature(c),temperature(f)
101,2008-03-11,3 Raby` al-awal 1429 A.H,Working Day,,,Lahore,31.5451,74.3407,Punjab,FIA building Temple road near The Mall-near regal chowk,Government,High,Closed,,Government Official,None,26.0,31.0,175.0,200.0,1.0,50.0,1.Ganga Ram Hospita 2.Mayo Hospital,21.295,70.331
102,2008-03-11,3 Raby` al-awal 1429 A.H,Working Day,,09:20:00,Lahore,31.5451,74.3407,Punjab,Bungalow no 83/F Model Town-an advertising agency office,Residence,Low,Closed,,Civilian,None,3.0,6.0,,12.0,1.0,30.0,Ganga Ram hospital,21.295,70.331
103,2008-03-17,9 Raby` al-awal 1429 A.H.,Working Day,,,Swat,35.2227,72.4258,KPK,Mingora police Lines,Police,High,Closed,,Police,None,2.0,3.0,5.0,7.0,1.0,,Saidu Sharif hospital,22.5,72.5
104,2008-03-20,12 Raby` al-awal 1429 A.H.,Holiday,Eid Milad un-Nabi,15:00:00,South Waziristan,32.3202,69.8597,FATA,Army Camp at Zari noor-Wana,Military,High,Closed,,Military,None,,5.0,9.0,11.0,1.0,,Military Hospital,18.655,65.579
105,2008-05-01,25 Raby` al-THaany 1429 A.H,Holiday,Labour Day,,Khyber Agency,34.0211,71.2874,FATA,Takia-Bar Qambarkhel Mosque,Religious,Medium,Closed,,Religious,Sunni,,2.0,17.0,30.0,1.0,,,28.985,84.173
106,2008-05-06,1 Jumaada al-awal 1429 A.H,Working Day,,09:30:00,Bannu,32.935,70.6688,KPK,Bannu police  check post,Police,High,Open,,Police,None,3.0,7.0,10.0,15.0,1.0,,1.DHQ 2.CMH,28.62,83.516
107,2008-05-09,4 Jumaada al-awal 1429 A.H,Working Day,,,Swat,35.2227,72.4258,KPK,Mingora police Station,Police,High,Closed,,Police,None,,1.0,3.0,4.0,1.0,,1.district headquarters hospital saidu sharif,23.985,75.173
108,2008-05-18,13 Jumaada al-awal 1429 A.H.,Holiday,Weekend,20:00:00,Mardan,34.1982,72.0444,KPK,Military run bakery near a punjab regiment center in Mardan cantt,Military,High,Closed,,Military,None,11.0,13.0,23.0,25.0,1.0,,1.CMH 2.District Headqurtar Hospital,29.61,85.298
109,2008-06-02,28 Jumaada al-awal 1429 A.H.,Working Day,,13:05:00,Islamabad,33.718,73.0718,Capital,Islamabad Danish Embassy,Foreign,High,Closed,,Foreigner,Jews,,8.0,25.0,30.0,1.0,50.0,1.PIMS 2.Federal Government Service Hospital,26.5,79.7
110,2008-07-06,3 Rajab 1429 A.H.,Holiday,Weekend,19:45:00,Islamabad,33.718,73.0718,Capital,Melody market near lal masjid,Market,Low,Open,,Police,None,15.0,20.0,20.0,47.0,1.0,5.0,1.PIMS 2.Poly Clinic 3.Federal Government Service Hospital,26.86,80.348
111,2008-07-13,10 Rajab 1429 A.H,Holiday,Weekend,,D.I Khan,31.8238,70.9095,KPK,Shiite gathering -Near kotli imam Hussain,Religious,Medium,Closed,,Religious,Shiite,,1.0,3.0,4.0,1.0,,,31.075,87.935
112,2008-08-13,12 SHa`baan 1429 A.H,Working Day,,23:35:00,Lahore,31.5451,74.3407,Punjab,neaar Iqbal Town police Station Lahore at dubai CHOWK SIGNAL,Police,High,Open,,Police,None,8.0,9.0,20.0,35.0,1.0,,1.Sheikh Zahid Hospital,25.835,78.503
113,2008-08-19,18 SHa`baan 1429 A.H.,Working Day,,13:30:00,D.I Khan,31.8238,70.9095,KPK,Distric headquarter hospital,Hospital,Low,Closed,during the shiite protest against the death of shiite govt official,Civilian,Shiite,30.0,32.0,33.0,55.0,1.0,,1.Combined Military Hospital,31.495,88.691
114,2008-08-21,20 SHa`baan 1429 A.H,Working Day,,14:37:00,Rawalpindi,33.6058,73.0437,Punjab,Wah Cant Pakistn Ordinance Factories,Military,High,Closed,,Government Official,None,70.0,100.0,67.0,200.0,2.0,,pof hospital,28.89,84.002
115,2008-08-23,22 SHa`baan 1429 A.H,Working Day,,07:45:00,Swat,35.2227,72.4258,KPK,Charbagh checkpost,Police,High,Open,,Police,None,7.0,15.0,,20.0,1.0,100.0,1.Saidu sharif hospital,25.69,78.242
116,2008-08-29,28 SHa`baan 1429 A.H,Working Day,,07:00:00,Kohat,33.5833,71.4333,KPK,army base camp/emergency center near Kohat tunnel,Military,High,Closed,,Military,None,2.0,5.0,25.0,39.0,1.0,,1.CMH Kohat,27.705,81.869
117,2008-09-06,6 RamaDHaan 1429 A.H,Working Day,,,Peshawar,34.0043,71.5448,KPK,Zangali Checkpost on kohat road,Police,High,Open,,Police,None,30.0,35.0,70.0,90.0,1.0,150.0,Lady Reading Hospital-Khyber teaching-Hayatabad complex,23.44,74.192
118,2008-09-16,16 RamaDHaan 1429 A.H,Working Day,,,Swat,35.2227,72.4258,KPK,Kabal check post,Police,High,Open,,Police,None,2.0,10.0,,25.0,1.0,,,25.95,78.71
119,2008-09-20,20 RamaDHaan 1429 A.H,Working Day,,,North waziristan,32.9746,70.1456,KPK,military convoy on Miranshah road near Norak,Mobile,High,Open,,Military,None,7.0,17.0,5.0,20.0,1.0,,1.CMH Bannu hospital,22.06,71.708
120,2008-09-20,20 RamaDHaan 1429 A.H,Working Day,,20:05:00,Islamabad,33.718,73.0718,Capital,Islamabad Marriott Hotal,Hotel,Medium,Closed,,Foreigner,None,40.0,60.0,200.0,300.0,1.0,1000.0,1.Poly Clinic  2. PIMS,24.41,75.938
121,2008-09-22,22 RamaDHaan 1429 A.H,Working Day,,,Swat,35.2227,72.4258,KPK,military security checkpost in Madian Town swat,Military,High,Open,,Military,None,9.0,13.0,2.0,3.0,1.0,,,21.005,69.809
122,2008-09-24,24 RamaDHaan 1429 A.H,Working Day,,,Quetta,30.2095,67.0182,Baluchistan,Quetta cantt military Check post,Military,High,Open,,Military,None,1.0,14.0,22.0,25.0,1.0,8.0,1.CMH Hospital 2.Civil Hospital,23.225,73.805
123,2008-10-03,3 SHawwal 1429 A.H,Holiday,Eid-ul-Fitar,16:00:00,Peshawar,34.0043,71.5448,KPK,wali bagh charsadda,Residence,Medium,Closed,,Government Official,None,4.0,5.0,,18.0,1.0,,1.District Hospital Charsadda,29.445,85.001
124,2008-10-06,6 SHawwal 1429 A.H,Working Day,,16:45:00,Bhakkar,31.6216,71.065,Punjab,Bhakkar Rasheed Noranni MNA house,Residence,Medium,Closed,,Government Official,None,22.0,26.0,60.0,100.0,1.0,,1.Nishtar Hospital Multan,29.025,84.245
125,2008-10-09,9 SHawwal 1429 A.H,Working Day,,12:45:00,Islamabad,33.718,73.0718,Capital,Islamabad Police line-anti terrorist squad building,Police,High,Closed,lawmakers gathered for a secret security briefing,Police,None,,,6.0,12.0,1.0,60.0,1. PIMS 2.Federal Government Services,24.17,75.506
126,2008-10-09,9 SHawwal 1429 A.H,Working Day,,12:55:00,Khyber Agency,34.0211,71.2874,FATA,near michni post in landi kotal,Mobile,High,Open,,Foreigner,Christian,,0.0,,0.0,1.0,,,24.47,76.046
127,2008-10-10,10 SHawwal 1429 A.H,Working Day,,,Orakzai Agency,32.9746,70.1456,FATA,anti-taliban Jirga-Khadezai area in upper Orakzai Agency,Park/Ground,Low,Open,,Anti-Militants,Sunni,40.0,85.0,90.0,200.0,1.0,8.0,1.Kohat Dvisional Headquarters Hospital  2.Gahluj hospital 3.Hospitals in Hangu and Kohat,20.58,69.044
128,2008-10-16,16 SHawwal 1429 A.H,Working Day,,,Swat,35.2227,72.4258,KPK,Mingora police Station,Police,High,Closed,,Police,None,,4.0,,27.0,1.0,,,19.835,67.703
129,2008-10-26,26 SHawwal 1429 A.H,Holiday,Weekend,21:45:00,Mohmand Agency,32.9746,70.1456,FATA,Mohmad Agency-naqi Checkpost,Military,High,Open,,Military,None,11.0,10.0,,5.0,1.0,,1.Ghalaanai Hospital,15.35,59.63
130,2008-10-29,29 SHawwal 1429 A.H.,Working Day,,14:15:00,Bannu,32.9861,70.6042,KPK,Militay checkpost cantoment area bannu,Military,High,Open,,Military,None,,,,14.0,1.0,,1.Combined Military Hospital,22.09,71.762
131,2008-10-31,2 Thw al-Qi`dah 1429 A.H,Working Day,,13:30:00,Mardan,34.1982,72.0444,KPK,outside the office of Mardan DIG in malakand mardan road,Police,High,Closed,,Police,None,9.0,10.0,21.0,25.0,1.0,,district headquarter hospital,20.895,69.611
132,2008-11-02,5 Thw al-Qi`dah 1429 A.H,Holiday,Weekend,09:00:00,South Waziristan,32.3202,69.8597,FATA,Zalai FC checkpost wana,Military,High,Open,,Military,None,,8.0,,8.0,1.0,,,21.735,71.123
133,2008-11-04,6 Thw al-Qi`dah 1429 A.H,Working Day,,,Hangu,33.5351,71.0713,KPK,Doabba-checkpost near surpul on hangu tal road,Police,High,Open,,Police,None,,7.0,,4.0,1.0,40.0,CMH Hangu,21.11,69.998
134,2008-11-06,8 Thw al-Qi`dah 1429 A.H,Working Day,,,Swat,35.2227,72.4258,KPK,Swat Police check post,Police,High,Open,,Police,None,,2.0,,10.0,1.0,,Syedo Shrif Hospital,16.485,61.673
135,2008-11-06,8 Thw al-Qi`dah 1429 A.H,Working Day,,,Bajaur Agency,34.8718,71.5249,FATA,Salarzai Jirga  in batmali area-Bajaur,Park/Ground,Low,Open,tribes were discussing formation of lashkar,Anti-Militants,Sunni,16.0,23.0,31.0,45.0,1.0,,,16.705,62.069
136,2008-11-11,13 Thw al-Qi`dah 1429 A.H,Working Day,,,Peshawar,34.0043,71.5448,KPK,Qayyum Stadium,Park/Ground,Low,Open,Sport Stadium,Government Official,None,3.0,4.0,13.0,20.0,1.0,78.0,1.Lady Reading Hospital 2.Combined Military Hospital,19.17,66.506
137,2008-11-12,14 Thw al-Qi`dah 1429 A.H,Working Day,,10:00:00,Charsadda,34.1509,71.7359,KPK,attack on security forces camp in Subhan Khaur school-shabqadar area near muhamand agency boder,Military,High,Closed,,Military,None,,7.0,10.0,12.0,1.0,,,19.165,66.497
138,2008-11-17,19 Thw al-Qi`dah 1429 A.H.,Working Day,,11:15:00,Swat,35.2227,72.4258,KPK,Security checkpost in gashgur area of  Khawazakhela,Military,High,Open,,Military,None,,10.0,,8.0,1.0,,,14.075,57.335
139,2008-11-20,22 Thw al-Qi`dah 1429 A.H.,Working Day,,,Bajaur Agency,34.8718,71.5249,FATA,Mosque in Badaan area of mamund,Religious,Medium,Closed,maghrib prayer,Religious,Sunni,,9.0,,,1.0,,District hospital Bajur,14.17,57.506
140,2008-11-28,30 Thw al-Qi`dah 1429 A.H.,Working Day,,,Buner,34.3943,72.6151,KPK,near Tarezi Chowk on the main Bannu-Kohat road.,Mobile,High,Open,,Police,,,9.0,,16.0,1.0,,,16.61,61.898
141,2008-12-01,3 Thw al-Hijjah 1429 A.H,Working Day,,,Swat,35.2227,72.4258,KPK,sangota checkpost in mingora,Military,High,Open,,Military,None,,10.0,,50.0,1.0,,,15.45,59.81
142,2008-12-03,5 Thw al-Hijjah 1429 A.H,Working Day,,,Charsadda,34.1509,71.7359,KPK,Army Convoy passing from shabqadar,Mobile,High,Open,Army convoy,Military,None,5.0,6.0,8.0,10.0,1.0,,,15.815,60.467
143,2008-12-05,8 Thw al-Hijjah 1429 A.H,Working Day,,12:30:00,Orakzai Agency,32.9746,70.1456,KPK,bazar of Kalaia area of lower Orakzai angency,Market,Low,Open,,Civilian,None,6.0,10.0,8.0,15.0,1.0,,Kalidya Hospital,12.465,54.437
144,2008-12-09,11 Thw al-Hijjah 1429 A.H,Working Day,,,Buner,34.3943,72.6151,KPK,in Dagar-an area of Buner,Park/Ground,Low,Open,,Government Official,None,,1.0,,4.0,1.0,,,14.39,57.902
145,2008-12-28,,Holiday,Weekend,10:30:00,Buner,34.3943,72.6151,KPK,Buner Poling station-Infront of govt high school Shalbandi,Government,High,Open,,Government official,None,34.0,37.0,,16.0,,,,11.41,52.538
146,2009-01-04,7 MuHarram 1430 A.H,Holiday,Weekend,19:30:00,D.I Khan,31.8238,70.9095,KPK,multan road in Deara Ismail Khan,Mobile,High,Open,muharram ul haram rally,Police,,7.0,10.0,21.0,25.0,1.0,10.0,Poly clinic multan,11.445,52.601
147,2009-01-04,7 MuHarram 1430 A.H,Holiday,Weekend,,Bannu,32.9861,70.6042,KPK,near a check-post in Officers’ Colony,Police,High,open,,Police,,,1.0,,2.0,1.0,,,8.275,46.895
148,2009-01-23,26 MuHarram 1430 A.H.,Working Day,,,Swat,35.3833,72.1833,KPK,near Mingora town,Military,High,open,,Military,,,2.0,11.0,25.0,1.0,,,12.95,55.31
149,2009-02-05,10 safar 1430 A.H.,Working Day,,,D.G Khan,30.05,70.6333,Punjab,Outside Jhar ali Imambargah-in muslim town area,Religious,Medium,Open,,Religious,Shiite,30.0,32.0,48.0,55.0,1.0,,Local Hospital In DG Khan/Nishtar Hospital,15.105,59.189
150,2009-02-05,10 safar 1430 A.H.,Working Day,,,Swat,35.3833,72.1833,KPK,near a Police station in the Mingora town of Swat District,Police,High,open,,Police,,,12.0,,,,,,9.435,48.983
151,2009-02-06,11 safar 1430 A.H,Working Day,,,Khyber Agency,34.0211,71.2874,FATA,Peshawar-Torkham Highway near Teddi Bazar in Jamrood,Mobile,Low,Open,struck the trailer when signalled to stop,Foreigner,Christian,,0.0,,7.0,1.0,,Jamrud Civil Hospital,10.32,50.576
152,2009-02-09,14 safar 1430 A.H,Working Day,,,Bannu,32.9861,70.6042,KPK,Police checkpost on Baran Bridge,Police,High,Open,,Police,None,,5.0,17.0,18.0,1.0,,DHQ Hospital Bannu  / Peshawar Hospital,14.585,58.253
153,2009-02-20,25 safar 1430 A.H,Working Day,,,D.I Khan,31.8238,70.9095,KPK,funeral procession on  Dera Bannu road-near shobra hotel,Park/Ground,Low,Open,"Funeral Procession of
Imambargah Caretaker",Civilian,Shiite,30.0,36.0,150.0,200.0,1.0,,"1. DHQ D.I.Khan
2. Nishtar Hospital
3. Lady Reading Pesh",15.555,59.999
154,2009-02-21,26 safar 1430 A.H,Working Day,,,Bannu,32.9861,70.6042,KPK,Lakki town,Police,High,Open,,Police,None,,2.0,,,,,,14.42,57.956
155,2009-02-23,28 safar 1430 A.H.,Working Day,,,Bannu,32.9861,70.6042,KPK,Bannu miranshah road-House of DSP,Residence,Medium,Closed,,Police,None,,1.0,,2.0,,,,15.7,60.26
156,2009-03-02,5 Raby` al-awal 1430 A.H,Working Day,,,Pishin,30.5833,67.0,Baluchistan,Killi Karbala village in Pishin district,Educational,Low,Closed,,Government Official,Sunni,5.0,6.0,5.0,12.0,1.0,,Civil hospital Quetta,18.76,65.768
157,2009-03-11,14 Raby` al-awal 1430 A.H,Working Day,,,Peshawar,34.0043,71.5448,KPK,sarki gate area in Nimak Mandi area-Peshawar,Market,Low,Open,"Inauguration  of an 
event by Sr Minister",Government Official,None,4.0,5.0,,6.0,1.0,,Lady Reading Hospital,18.375,65.075
158,2009-03-16,19 Raby` al-awal 1430 A.H,Working Day,,,Rawalpindi,33.6058,73.0437,Punjab,Rawalpindi cantt-Pirwadhi bus stand,Transport,Low,Open,,Civilian,None,12.0,15.0,16.0,18.0,1.0,10.0,"DHQ Hospital RWP
2. Benazir Hospital RWP",20.875,69.575
159,2009-03-23,26 Raby` al-awal 1430 A.H,Holiday,Pakistan Day,,Islamabad,33.718,73.0718,Capital,sitara maket-special branch police gate,Police,High,Open,,Police,None,,2.0,,8.0,1.0,,,18.575,65.435
160,2009-03-26,29 Raby` al-awal 1430 A.H,Working Day,,08:30:00,Tank,32.226,70.3761,KPK,road side restaurant opposite to military base in Jandola,Market,Low,Open,members of peace committe -members of Turkestan group,Anti-Militants,Sunni,7.0,15.0,,25.0,1.0,,Civil Hospital Tank,14.305,57.749
161,2009-03-27,30 Raby` al-awal 1430 A.H,Working Day,,,Khyber Agency,34.0211,71.2874,FATA,Mosque in Jamrood Tehsil on peshawar-turkham highway,Religious,Medium,Closed,,Religious,Sunni,70.0,76.0,100.0,175.0,1.0,,Peshwar Hospitals,18.595,65.471
162,2009-03-30,3 Raby` al-THaany 1430 A.H,Working Day,,,North waziristan,32.9746,70.1456,FATA,Mirzail checkpost-Miranshah,Mobile,High,Open,security forces convoy was passing from checkpost,Military,None,,4.0,,9.0,1.0,,,14.415,57.947
163,2009-04-04,8 Raby` al-THaany 1430 A.H,Working Day,,,Islamabad,33.718,73.0718,Capital,"Margala Road Check Post
Islamabad",Military,High,Open,,Military,None,,8.0,4.0,7.0,1.0,8.0,"PIMS
Polyclinic ",20.17,68.306
164,2009-04-04,8 Raby` al-THaany 1430 A.H,Working Day,,,North waziristan,32.9746,70.1456,FATA,mirnshah security checkpost,Mobile,High,Open,military convoy was passing from checkpost,Military,None,,8.0,,39.0,1.0,,,15.57,60.026
165,2009-04-05,9 Raby` al-THaany 1430 A.H,Holiday,Weekend,12:30:00,Chakwal,32.9303,72.8556,Punjab,Imambargah in Chakwal,Religious,Medium,Closed,Shia Religious Gathering,Religious,Shiite,22.0,27.0,40.0,60.0,1.0,,,20.555,68.999
166,2009-04-15,19 Raby` al-THaany 1430 A.H,Working Day,,,Charsadda,34.1509,71.7359,KPK,"Harichand Police Post-
Charsadda",Police,High,Open,,Police,None,16.0,18.0,5.0,10.0,1.0,100.0,Charsadda DHQ/Tangi Hospital/JamalAbad hospital/Peshawar Hospital,,
167,2009-04-18,22 Raby` al-THaany 1430 A.H,Working Day,,,Hangu,33.5351,71.0713,KPK,Check Post close to police station in Doaba Area,Police,High,Open,,Police,None,21.0,27.0,26.0,65.0,1.0,,Civil Hospital Hangu/ CMH Thall,21.175,70.115
168,2009-05-05,10 Jumaada al-awal 1430 A.H.,Working Day,,,Peshawar,34.0043,71.5448,KPK,bara qadeem Check post-on peshawar-bara road-12km west of peshawar cantt,Military,High,Open,,Military,None,7.0,11.0,25.0,48.0,1.0,,Khyber Teaching Hospital / Hayatabad Medical Complex,18.615,65.507
169,2009-05-11,16 Jumaada al-awal 1430 A.H,Working Day,,09:30:00,Dara Adam Khel,33.6854,71.5131,KPK,check post in the Outstrikes of Darra Adamkhel-in area of Sabeena police station,Police,High,Open,,Police,None,10.0,11.0,20.0,27.0,1.0,,"1. Lady Reading Hospital Pesh
2. CMH Peshwar",25.66,78.188
170,2009-05-21,26 Jumaada al-awal 1430 A.H,Working Day,,,Tank,32.226,70.3761,KPK,FC fort in Jandola,Military,High,Open,FC camp,Military,None,6.0,9.0,25.0,36.0,1.0,,CMH Dera/ Tank Hospitals,21.54,70.772
171,2009-05-27,3 Jumaada al-THaany 1430 A.H,Working Day,,,Lahore,31.5451,74.3407,Punjab,hit police checkpost outside Rescue 15 Office and country's premier intelligence agency,Police,High,Open,,Police,None,26.0,27.0,320.0,370.0,1.0,125.0,Ganga Ram hospital / Meo/ Services Hospital,33.275,91.895
172,2009-05-28,4 Jumaada al-THaany 1430 A.H,Working Day,,17:40:00,Peshawar,34.0043,71.5448,KPK,"Kohat Road-Sira Khora-
Police  Check Post ",Police,High,Open,,Police,None,3.0,5.0,3.0,9.0,1.0,5.0,"Lady Reading Hospital 
Peshawar ",34.19,93.542
173,2009-05-28,4 Jumaada al-THaany 1430 A.H,Working Day,,,D.I Khan,31.8238,70.9095,KPK,checkpost on circular road,Police,High,Open,,Police,None,3.0,5.0,8.0,12.0,1.0,,,29.085,84.353
174,2009-06-05,12 Jumaada al-THaany 1430 A.H,Working Day,,,Upper Dir,35.1977,71.8749,FATA,Masjid in Hayagai Sharqai village,Religious,Medium,Closed,,Religious,Sunni,,40.0,50.0,70.0,1.0,,,23.36,74.048
175,2009-06-06,13 Jumaada al-THaany 1430 A.H,Working Day,,20:35:00,Islamabad,33.718,73.0718,Capital,Rescue 15 building in Islamabad,Police,High,Closed,Senior Police Officials meeting,Police,None,2.0,2.0,4.0,5.0,1.0,,PIMS,26.235,79.223
176,2009-06-09,16 Jumaada al-THaany 1430 A.H,Working Day,,,Peshawar,34.0043,71.5448,KPK,"Pearl Continental Hotel
Peshawar",Hotel,Medium,Closed,,Foreigner,None,11.0,15.0,50.0,80.0,1.0,500.0,"Lady Reading Hospital 
Peshawar ",29.325,84.785
177,2009-06-11,18 Jumaada al-THaany 1430 A.H,Working Day,,,Peshawar,34.0043,71.5448,KPK,ring road Latifabad-Peshawar,Police,High,Open,,Police,None,1.0,2.0,8.0,15.0,1.0,,LRH,30.935,87.683
178,2009-06-12,19 Jumaada al-THaany 1430 A.H,Working Day,,,Lahore,31.5451,74.3407,Punjab,Jamia Naeemia madrassa-Garhai Shahu area,Religious,Medium,Closed,,Religious,Sunni,5.0,7.0,5.0,12.0,1.0,24.0,Mayo-Sir Ganga Ram Servuces-Jinnah Hospital,35.985,96.773
179,2009-06-12,19 Jumaada al-THaany 1430 A.H,Working Day,,,Nowshehra,34.0322,73.0944,KPK,military run Mosque in Nowshera Cantt-on supply depot morr,Religious,Medium,Closed,,Religious,Sunni,4.0,7.0,63.0,105.0,1.0,,contonment hospital-DHQ Hospital-peshawar CMH,29.2,84.56
180,2009-06-22,29 Jumaada al-THaany 1430 A.H.,Working Day,,,Swat,35.3833,72.1833,KPK,Thakot Police check-post in Battagram District.,Police,High,Open,,Police,None,,2.0,,7.0,,,,27.665,81.797
181,2009-06-26,3 Rajab 1430 A.H,Working Day,,06:30:00,Muzaffarabad,34.3597,73.4711,AJK,near non commisioned officers place-Muzaffarabad,Mobile,High,Open,,Military,None,,2.0,3.0,4.0,1.0,,CMH Muzzafarabad,33.255,91.859
182,2009-06-30,7 Rajab 1430 A.H.,Working Day,,,Khyber Agency,34.0211,71.2874,FATA,Quetta-Khi RCD highway-town of Torkham,Foreign,High,Open,blew himself up while being searched at the pak-afghna checkpost,foreigner,Sunni,1.0,4.0,10.0,11.0,1.0,,,31.26,88.268
183,2009-07-01,8 Rajab 1430 A.H.,Working Day,,,Peshawar,34.0043,71.5448,KPK,Mashokhel Mera Area-Kohat Road,Mobile,High,Open,,Unknown,None,,1.0,,,1.0,,,30.385,86.693
184,2009-07-02,9 Rajab 1430 A.H.,Working Day,,16:30:00,Rawalpindi,33.6058,73.0437,Punjab,"KRL Bas at Chur Chowk
on peshawar road-rwp cantt",Mobile,High,Open,,Government official,None,,1.0,25.0,40.0,1.0,10.0,,27.29,81.122
185,2009-07-08,15 Rajab 1430 A.H,Working Day,,03:00:00,Peshawar,34.0043,71.5448,KPK,nasir bagh road choongi bazar near police colony,Market,Low,Open,,Police,None,,1.0,2.0,5.0,1.0,20.0,,34.825,94.685
186,2009-07-28,6 SHa`baan 1430 A.H,Working Day,,,North Waziristan,32.9746,70.1456,KPK,Dirdony post on ghulam khan road-Near Miranshah,Police,High,Open,,Police,None,,2.0,3.0,5.0,1.0,,,27.485,81.473
187,2009-08-13,22 SHa`baan 1430 A.H,Working Day,,,South Waziristan,32.3202,69.8597,FATA,wana bazar,Mobile,Low,Open,leader of Nawaz group-a group against taliban,Anti-Militants,Sunni,4.0,5.0,,,1.0,,,26.925,80.465
188,2009-08-15,24 SHa`baan 1430 A.H,Working Day,,10:00:00,Swat,35.2227,72.4258,KPK,Check post in Khawazakhela- Char Bagh road near-waliabad village,Police,High,Open,,Police,None,3.0,5.0,,4.0,1.0,,Saidu Sharif hospital,32.845,91.121
189,2009-08-16,25 SHa`baan 1430 A.H,Holiday,Weekend,,swat,35.2227,72.4258,KPK,security forces check point,Police,High,Open,,Police,None,,1.0,,3.0,1.0,,,29.985,85.973
190,2009-08-18,27 SHa`baan 1430 A.H.,Working Day,,19:00:00,North Waziristan,32.9746,70.1456,KPK,Esha check post on bannu-miranshah road,Military,High,Open,,Military,None,3.0,7.0,,3.0,1.0,,,24.65,76.37
191,2009-08-21,30 SHa`baan 1430 A.H,Working Day,,,Kohat,33.5833,71.4333,KPK,BB Pakdaman Street,Civilian,,Open,,Civilian,None,,0.0,,,1.0,,,29.035,84.263
192,2009-08-22,1 RamaDHaan 1430 A.H.,Working Day,,17:00:00,Swat,35.2227,72.4258,KPK,kanju area of Kabal tehsil,Residence,Low,Closed,police raid in the area,Police,None,2.0,3.0,2.0,8.0,1.0,,,26.025,78.845
193,2009-08-23,2 RamaDHaan 1430 A.H.,Holiday,Weekend,,Peshawar,34.0043,71.5448,KPK,Momin Town,Residence,Low,open,Fateh Khawani of Haji Mobin Afridi,Anti-Militants,Sunni,,3.0,,15.0,1.0,12.0,Lady Reading Hospital,29.92,85.856
194,2009-08-27,6 RamaDHaan 1430 A.H,Working Day,,,Khyber Agency,34.0211,71.2874,FATA,security post near Torkham border,Military,High,Open,,Military,None,20.0,22.0,10.0,27.0,1.0,,Landi Kotal Hospital,30.08,86.144
195,2009-08-30,9 RamaDHaan 1430 A.H,Holiday,Weekend,,Swat,35.2227,72.4258,KPK,police training center in Mingora,Police,High,Closed,,Police,None,16.0,18.0,4.0,14.0,1.0,12.0,Saidu Sharif hospital,29.155,84.479
196,2009-09-12,22 RamaDHaan 1430 A.H,Working Day,,,Hangu,33.5351,71.0713,KPK,Doaba police station,Police,High,Closed,,Police,None,,,2.0,4.0,1.0,,,26.635,79.943
197,2009-09-13,23 RamaDHaan 1430 A.H,Holiday,Weekend,,Malakand,34.503,71.9046,KPK,checkpost in Thana area-near batkhela,Military,High,Open,,Military,None,,1.0,3.0,5.0,2.0,,,28.31,82.958
198,2009-09-18,28 RamaDHaan 1430 A.H,Working Day,,10:00:00,Kohat,33.5833,71.4333,KPK,Kacha pakha bazar-in Astarzai union council area,Market,Low,Open,,Civilian,None,30.0,37.0,50.0,60.0,1.0,150.0,,29.19,84.542
199,2009-09-19,29 RamaDHaan 1430 A.H,Working Day,,,Dara Adam Khel,33.6854,71.5131,KPK,"Security Check
Post in zorkalay area",Police,High,Open,,Police,None,,2.0,,1.0,1.0,,,29.865,85.757
200,2009-09-21,2 SHawwal 1430 A.H.,Working Day,,,Totalai,34.2,72.5,KPK,Tatalai District,Educational,Low,Closed,,Government Official,None,,0.0,,,1.0,,,26.855,80.339
201,2009-09-26,7 SHawwal 1430 A.H,Working Day,,,Bannu,32.9861,70.6042,KPK,outside Police Station in mundan area-Bannu,Police,High,Open,,Police,None,7.0,10.0,50.0,65.0,1.0,180.0,,26.375,79.475
202,2009-09-26,7 SHawwal 1430 A.H,Working Day,,,Peshawar,34.0043,71.5448,KPK,"Fakhar e Alam Road-
Saddar-infront of Askari bank",Bank,Low,Open,,Civilian,None,10.0,14.0,50.0,120.0,1.0,100.0,"1. Lady Reading Hospital Pesh
2. CMH Peshwar",31.075,87.935
203,2009-09-28,9 SHawwal 1430 A.H,Working Day,,,bannu,32.935,70.6688,KPK,Bakakhel,Mobile,Low,Open,molvi abdul hakeem as goin to attend jirga-anti-talibanic cleric,Anti-Militants,Sunni,4.0,5.0,,,1.0,,,24.33,75.794
204,2009-10-05,16 SHawwal 1430 A.H,Working Day,,,Islamabad,33.718,73.0718,Capital,WFP office in islamabad F-8/3,Foreigner,High,Closed,,foreigner,Christian,,5.0,3.0,8.0,1.0,8.0,,24.935,76.883
205,2009-10-09,20 SHawwal 1430 A.H,Working Day,,,Peshawar,34.0043,71.5448,KPK,Khayber Bazar-Peshawar,Market,Low,Open,,Civilian,None,48.0,50.0,148.0,187.0,1.0,100.0,"Lady Reading Hospital 
Peshawar ",25.75,78.35
206,2009-10-12,23 SHawwal 1430 A.H,Working Day,,13:00:00,Shangla,34.8015,72.757,KPK,near police station in Alpuri area of shangla District,Mobile,High,Open,military convoy,Military,None,,41.0,45.0,50.0,1.0,,Alpuri Hospital,22.04,71.672
207,2009-10-15,26 SHawwal 1430 A.H,Working Day,,08:00:00,Kohat,33.5833,71.4333,KPK,Kohat Police Station,Police,High,Closed,,Police,None,11.0,12.0,20.0,24.0,1.0,100.0,Kohat Hospital,23.25,73.85
